id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
q01,SLA,SLA xử lý ticket P1 là bao lâu?,SLA xử lý ticket P1 là 4 giờ cho việc khắc phục sau phản hồi ban đầu trong 15 phút kể từ khi ticket được tạo [1].,Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,5,"The answer accurately reflects the information provided in the context regarding the SLA for ticket P1, including the initial response time and resolution time.",5,The answer directly and completely addresses the question by providing the specific SLA for handling P1 tickets.,5,Retrieved: 1/1 expected sources,5,"The model answer includes both the initial response time of 15 minutes and the resolution time of 4 hours, covering all key points from the expected answer.",baseline_dense
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng [1].,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,The answer accurately reflects the information provided in the context regarding the customer's right to request a refund within 7 working days from the order confirmation.,5,Directly and completely answers the question by specifying the time frame for requesting a refund.,5,Retrieved: 1/1 expected sources,5,The model answer fully covers all key points from the expected answer.,baseline_dense
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Để cấp quyền Level 3, cần phê duyệt của Line Manager, IT Admin và IT Security [1].","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",5,"The answer accurately reflects the requirements for Level 3 access as stated in the retrieved context, including the need for approval from Line Manager, IT Admin, and IT Security.",5,The answer directly and completely addresses the question by specifying who needs to approve the granting of Level 3 permissions.,5,Retrieved: 1/1 expected sources,5,Covers all important points from the expected answer.,baseline_dense
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Sản phẩm kỹ thuật số không được hoàn tiền, trừ khi có lỗi do nhà sản xuất và đáp ứng các điều kiện khác [1].","Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",4,"The answer accurately states that digital products are not refundable unless there is a manufacturer defect and other conditions are met, but it does not explicitly mention the 7-day requirement for the refund request.",5,The answer directly and completely addresses the question about the refund policy for digital products.,5,Retrieved: 1/1 expected sources,3,"The model answer states that digital products are not refundable, but it lacks the specific mention of the policy regarding exceptions for digital products and does not clarify that they are generally non-refundable.",baseline_dense
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,"Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp. Để mở khóa, liên hệ IT Helpdesk hoặc tự reset qua portal SSO [1].",Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,5,"The answer is completely grounded in the provided context, accurately reflecting the information about account lockout and unlocking procedures.",5,The answer directly and completely addresses the question by stating the number of failed login attempts that lead to account lockout.,5,Retrieved: 1/1 expected sources,5,The model answer includes the key point about the account being locked after 5 failed login attempts and provides additional relevant information on how to unlock the account.,baseline_dense
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,"Escalation trong sự cố P1 diễn ra như sau: Nếu không có phản hồi trong 10 phút, ticket sẽ tự động escalate lên Senior Engineer. Trong quá trình xử lý, nếu engineer cần hỗ trợ thêm, họ có thể escalate ngay. Quy trình xử lý sự cố P1 bao gồm các bước tiếp nhận, thông báo, triage và phân công, xử lý, và cuối cùng là viết incident report trong vòng 24 giờ [2][3].",Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,5,"The answer accurately reflects the escalation process for P1 incidents as described in the retrieved context, including the automatic escalation to a Senior Engineer and the steps involved in handling the incident.",5,"The answer directly and completely explains how escalation occurs in a P1 incident, detailing the process and timeframes involved.",5,Retrieved: 1/1 expected sources,5,"The model answer covers all key points from the expected answer, including the automatic escalation after 10 minutes and additional escalation by the engineer if needed, along with a detailed description of the incident handling process.",baseline_dense
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,"Approval Matrix để cấp quyền hệ thống là tài liệu quy định quy trình cấp phép truy cập vào các hệ thống nội bộ của công ty, áp dụng cho tất cả nhân viên, contractor, và third-party vendor [1].",Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,5,The answer accurately reflects the information provided in the context regarding the approval matrix and the process for granting access to internal systems.,5,The answer directly and completely explains what the Approval Matrix is and its purpose in granting system access.,5,Retrieved: 1/1 expected sources,2,The model answer provides a general description of the Approval Matrix but does not mention the specific name change to 'Access Control SOP' or the document reference.,baseline_dense
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,Nhân viên được làm remote tối đa 2 ngày mỗi tuần sau khi hoàn thành thời gian thử việc [1].,"Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",5,The answer accurately reflects the information provided in the context regarding remote work conditions for employees after the probation period.,5,The answer directly and completely addresses the question by stating the maximum number of remote work days allowed per week.,5,Retrieved: 1/1 expected sources,4,"The model answer includes the maximum number of remote days and the condition of completing the probation period, but it omits the requirement for Team Lead approval.",baseline_dense
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,"ERR-403-AUTH là lỗi liên quan đến quyền truy cập, thường xảy ra khi người dùng không có quyền truy cập vào tài nguyên yêu cầu. Cách xử lý có thể bao gồm việc kiểm tra và yêu cầu cấp quyền thông qua quy trình đã được mô tả, như tạo Access Request ticket trên Jira và chờ phê duyệt từ Line Manager [1].","Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",4,"The answer is mostly grounded in the context, as it correctly identifies the ERR-403-AUTH error as related to access rights and suggests following the access request process. However, it does not explicitly mention the specific steps outlined in the context, which introduces minor uncertainty.",5,The answer directly and completely explains what ERR-403-AUTH is and provides a clear method for handling the error.,,No expected sources,5,"The model answer provides a clear explanation of the ERR-403-AUTH error and includes a specific method for resolution, covering all key points from the expected answer.",baseline_dense
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?","Không có thông tin nào trong bối cảnh đề cập đến quy trình hoàn tiền khẩn cấp cho khách hàng VIP. Do đó, tôi không biết.","Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",1,"The answer states that there is no information about an emergency refund process for VIP customers, which is not addressed in the provided context. This indicates a lack of grounding in the context.",2,The answer acknowledges the lack of information but does not provide any relevant details about the process for VIP customers.,5,Retrieved: 1/1 expected sources,2,The model answer does not address the lack of a special process for VIP customers and fails to mention the standard refund timeline of 3-5 business days.,baseline_dense
q01,SLA,SLA xử lý ticket P1 là bao lâu?,SLA xử lý ticket P1 là 4 giờ [1].,Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,5,"The answer accurately states that the SLA for processing ticket P1 is 4 hours, which is directly supported by the retrieved context.",5,The answer directly and completely addresses the question by providing the specific SLA time for P1 tickets.,5,Retrieved: 1/1 expected sources,3,"The model answer only mentions the resolution time of 4 hours and omits the initial response time of 15 minutes, which is an important detail.",variant_hybrid_rerank
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng [1].,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,"The answer is completely grounded in the provided context, accurately reflecting the information about the 7-day timeframe for requesting a refund.",5,The answer directly and completely addresses the question by specifying the time frame for requesting a refund.,5,Retrieved: 1/1 expected sources,5,The model answer fully covers all key points from the expected answer.,variant_hybrid_rerank
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Để cấp quyền Level 3, cần có sự phê duyệt của Line Manager, IT Admin và IT Security [2].","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",5,"The answer accurately reflects the requirement for Level 3 access approval as stated in the provided context, mentioning the necessary approvals from Line Manager, IT Admin, and IT Security.",5,The answer directly and completely addresses the question by specifying who needs to approve the granting of Level 3 permissions.,5,Retrieved: 1/1 expected sources,5,Covers all important points from expected answer.,variant_hybrid_rerank
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Sản phẩm kỹ thuật số không được hoàn tiền, trừ khi có điều kiện ngoại lệ khác [1].","Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",4,"The answer correctly states that digital products are not refundable, which is supported by the context. However, the phrase 'trừ khi có điều kiện ngoại lệ khác' introduces uncertainty as the context does not specify any exceptions for digital products beyond what is already mentioned.",5,The answer directly and completely addresses the question about the refund policy for digital products.,5,Retrieved: 1/1 expected sources,3,"The model answer states that digital products are not refundable but lacks the specific mention of the types of products (license key, subscription) that are exceptions.",variant_hybrid_rerank
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,"Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp. Để mở khóa, liên hệ IT Helpdesk hoặc tự reset qua portal SSO [1].",Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,5,"The answer is completely grounded in the provided context, accurately reflecting the information about account lockout and unlocking procedures.",5,The answer directly and completely addresses the question by stating the number of failed login attempts that lead to account lockout.,5,Retrieved: 1/1 expected sources,5,The model answer includes the key point about the account being locked after 5 failed login attempts and provides additional information on how to unlock the account.,variant_hybrid_rerank
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,"Escalation trong sự cố P1 diễn ra như sau: On-call IT Admin có thể cấp quyền tạm thời (tối đa 24 giờ) sau khi được Tech Lead phê duyệt bằng lời. Sau 24 giờ, phải có ticket chính thức hoặc quyền sẽ bị thu hồi tự động. Tất cả quyền tạm thời phải được ghi log vào hệ thống Security Audit [1].",Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,5,"The answer accurately reflects the escalation process for P1 incidents as described in the retrieved context, including the approval process, time limits, and logging requirements.",5,"The answer directly and completely explains how escalation occurs in a P1 incident, detailing the process and requirements involved.",5,Retrieved: 1/1 expected sources,1,"The model answer does not address the automatic escalation of the P1 ticket to a Senior Engineer after 10 minutes of no response, which is a core component of the expected answer.",variant_hybrid_rerank
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,"Approval Matrix để cấp quyền hệ thống là tài liệu quy định quy trình cấp phép truy cập vào các hệ thống nội bộ của công ty, áp dụng cho tất cả nhân viên, contractor, và third-party vendor [1].",Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,5,The answer accurately reflects the information provided in the context regarding the approval matrix and the process for granting access to internal systems.,5,The answer directly and completely explains what the Approval Matrix is and its purpose in granting system access.,5,Retrieved: 1/1 expected sources,2,The model answer provides a general description of the Approval Matrix but does not mention the specific name change to 'Access Control SOP' or the document reference.,variant_hybrid_rerank
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,Nhân viên được làm remote tối đa 2 ngày mỗi tuần sau khi hoàn thành thời gian thử việc [1].,"Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",5,The answer accurately reflects the information provided in the context regarding remote work conditions after the probation period.,5,The answer directly and completely addresses the question by stating the maximum number of remote work days allowed per week.,5,Retrieved: 1/1 expected sources,4,"The model answer includes the maximum number of remote days and the condition of completing the probation period, but it omits the requirement for Team Lead approval.",variant_hybrid_rerank
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,Tôi không biết.,"Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",1,The answer 'Tôi không biết' is not grounded in the provided context and does not address the question about not receiving emails from outside.,1,The answer does not address the question at all.,,No expected sources,1,"The model answer does not provide any relevant information about the error or how to handle it, missing all key points from the expected answer.",variant_hybrid_rerank
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?",Không có thông tin nào trong ngữ cảnh về quy trình hoàn tiền khẩn cấp cho khách hàng VIP. Tôi không biết.,"Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",1,"The answer states that there is no information about an emergency refund process for VIP customers, which is not addressed in the provided context. Therefore, it is not grounded in the context.",1,The answer does not address the question at all and states a lack of information.,5,Retrieved: 1/1 expected sources,2,The model answer does not address the lack of a special process for VIP customers and fails to mention the standard refund timeline of 3-5 business days.,variant_hybrid_rerank
